status	label	forms
map	A2 scenario	A2 scenario ; scenario A2 ; A2 scenarios ; scenarios A2 ; Scénario A2 ; A2 scenario
map	abiotic factors	abiotic factors ; facteurs abiotiques
map	above-ground biomass	above-ground biomass ; aboveground biomass ; la biomasse aérienne ; above-ground biomass
map	abrupt changes	abrupt changes ; abrupt change ; changes and abrupt ; changements brusques ; abrupt changes
map	acidification	acidification
map	adaptation options	adaptation options ; adaptation option ; options for adaptation ; adaptation as an option ; options d'adaptation ; adaptation options
map	adaptation policy	adaptation policy ; adaptation policies ; policy adaptation ; policy of adaptation ; adaptation and policy ; policies of adaptation ; politique d'adaptation ; adaptation policy
map	adaptive capacity	adaptive capacity ; adaptive capacities ; Adaptive capacity ; Adaptive Capacity ; capacité d'adaptation ; adaptive capacity
map	agricultural soils	agricultural soils ; agricultural soil ; soil and agricultural ; sols agricoles ; agricultural soils
map	air pollutants	air pollutants ; air pollutant ; air pollution ; polluants atmosphériques ; air pollutants
map	air quality	air quality ; quality of air ; qualité de l'air ; air quality
map	air temperature	air temperature ; air temperatures ; température de l'air ; air temperature
map	alpine grasslands	alpine grasslands ; alpine grassland ; prairies alpines ; alpine grasslands
map	alpine meadow	alpine meadow ; alpine meadows ; meadows and alpine ; prairie alpine ; alpine meadow
map	altitudinal gradient	altitudinal gradient ; altitudinal gradients ; gradient d'altitude ; altitudinal gradient
map	ambient temperature	ambient temperature ; ambient temperatures ; température ambiante ; ambient temperature
map	annual precipitation	annual precipitation ; Annual precipitation ; precipitation annual ; précipitations annuelles ; annual precipitation
map	annual runoff	annual runoff ; runoff and annual ; ruissellement annuel ; annual runoff
map	annual temperature	annual temperature ; annual temperatures ; temperature annual ; température annuelle ; annual temperature
map	Antarctic	Antarctic ; antarctic ; Antarctique ; Antarctic
map	climate change adaptation	anthropogenic climate change ; climate change and anthropogenic ; Anthropogenic climate change ; Climate change and anthropogenic ; climate change and the anthropogenic ; changement climatique anthropique ; anthropogenic climate change
map	antioxidant	antioxidant ; antioxidants ; antioxydant ; antioxidant
map	aphid	aphid ; aphids ; Aphid ; pucerons ; aphid
map	aquatic environments	aquatic environments ; aquatic ecosystems ; Aquatic ecosystems ; aquatic ecosystem ; milieux aquatiques ; aquatic environments
map	arid regions	arid regions ; arid region ; régions arides ; arid regions
map	aridity	aridity ; aridité
map	atmospheric circulation	atmospheric circulation ; atmospheric circulations ; circulation atmosphérique ; atmospheric circulation
map	atmospheric CO2	atmospheric CO2 ; atmospheric carbon dioxide ; atmospheric CO2 ; carbon dioxide from the atmosphere ; carbon dioxide in the atmosphere ; atmosphere as carbon dioxide ; CO2 atmosphérique ; atmospheric CO2
map	bacteria	bacteria ; Bacteria ; bactéries ; bacteria
map	basal area	basal area ; basal areas ; zone basale ; basal area
map	behavior change	behavior change ; behavior changes ; change behavior ; changes in behavior ; change of behavior ; behaviour change ; change in behaviour ; behavioural change ; behavioural changes ; changement de comportement ; behavior change
map	biochar	biochar
map	biodiesel	biodiesel
map	biodiversity	biodiversity ; biodiversité
map	biodiversity conservation	biodiversity conservation ; conservation of biodiversity ; conservation de la biodiversité ; biodiversity conservation
map	biodiversity hotspots	biodiversity hotspots ; biodiversity hotspot ; hotspots of biodiversity ; hotspot for biodiversity ; hotspot of biodiversity ; hotspots de la biodiversité ; biodiversity hotspots
map	bioenergy	bioenergy ; bioénergie
map	biofuels	biofuels ; biocarburants
map	biogeochemical cycles	biogeochemical cycles ; biogeochemical cycling ; cycles biogéochimiques ; biogeochemical cycles
map	biological invasions	biological invasions ; biological invasion ; Biological invasions ; invasions biologiques ; biological invasions
map	biomarkers	biomarkers ; biomarqueurs
map	biomass carbon	biomass carbon ; Biomass carbon ; carbon biomass ; biomass and carbon ; carbon as biomass ; carbone de la biomasse ; biomass carbon
map	biomass production	biomass production ; Biomass production ; Biomass and production ; biomass and production ; production de la biomasse ; biomass production
map	biomes	biomes ; biome ; biomes
map	biotic interactions	biotic interactions ; Biotic interactions ; biotic interaction ; interactions biotiques ; biotic interactions
map	bird species	bird species ; species of birds ; espèces d'oiseaux ; bird species
map	black carbon	black carbon ; carbon and black ; noir de carbone ; black carbon
map	canopy	canopy ; canopies ; Canopy ; canopée ; canopy
map	carbon accumulation	carbon accumulation ; Carbon accumulation ; accumulation of carbon ; accumulation de carbone ; carbon accumulation
map	carbon balance	carbon balance ; carbon balances ; bilan carbone ; carbon balance
map	carbon budget	carbon budget ; carbon budgets ; budget carbone ; carbon budget
map	carbon cycle	carbon cycle ; carbon cycles ; cycle carbon ; Carbon cycle ; carbon cycling ; cycling of carbon ; cycle du carbone ; carbon cycle
map	carbon dynamics	carbon dynamics ; Carbon dynamics ; dynamics of carbon ; dynamique du carbone ; carbon dynamics
